t,x,y,yaw,steer,l,r
25.46,1.294,-22.809,-0.0069,0,0,0
25.56,-1.001,-22.761,1.5639,0,0,0
25.66,-1.001,-22.761,1.5639,0,0,0
25.76,1.294,-22.809,-0.0069,0,0,0
25.87,-1.001,-22.761,1.5639,0,0,0
25.97,1.294,-22.809,-0.0069,0,0,0
26.07,1.294,-22.809,-0.0069,0,0,0
26.17,1.294,-22.809,-0.0069,0,0,0
26.28,1.294,-22.809,-0.0069,0,0,0
26.39,-1.001,-22.761,1.5639,0,0,0
26.49,-1.001,-22.761,1.5639,0,0,0
26.59,-1.001,-22.761,1.5639,0,0,0
26.69,1.294,-22.809,-0.0069,0,0,0
26.79,1.294,-22.809,-0.0069,0,0,0
26.9,-1.001,-22.761,1.5639,0,0,0
27.0,-1.001,-22.761,1.5639,0,0,0
27.1,-1.001,-22.761,1.5639,0,0,0
27.21,1.294,-22.809,-0.0069,0,0,0
27.31,1.294,-22.809,-0.0069,0,0,0
27.41,-1.001,-22.761,1.5639,0,0,0
27.51,-1.001,-22.761,1.5639,0,0,0
27.62,1.294,-22.809,-0.0069,0,0,0
27.72,1.294,-22.809,-0.0069,0,0,0
27.82,1.294,-22.809,-0.0069,0,0,0
27.94,-1.001,-22.761,1.5639,0,0,0
28.04,-1.001,-22.761,1.5639,0,0,0
28.14,-1.001,-22.761,1.5639,0,0,0
28.24,-1.001,-22.761,1.5639,0,0,0
28.35,-1.001,-22.761,1.5639,0,0,0
28.45,-1.001,-22.761,1.5639,0,0,0
28.56,-1.001,-22.761,1.5639,0,0,0
28.66,-1.001,-22.761,1.5639,0,0,0
28.77,-1.001,-22.761,1.5639,0,0,0
28.88,-1.001,-22.761,1.5639,0,0,0
28.98,-1.001,-22.761,1.5639,0,0,0
29.08,-1.001,-22.761,1.5639,0,0,0
29.19,-1.001,-22.761,1.5639,0,0,0
29.3,-1.001,-22.761,1.5639,0,0,0
29.41,-1.001,-22.761,1.5639,0,0,0
29.52,-1.001,-22.761,1.5639,0,0,0
29.62,-1.001,-22.761,1.5639,0,0,0
29.73,-1.001,-22.761,1.5639,0,0,0
29.84,-1.001,-22.761,1.5639,0,0,0
29.94,1.294,-22.809,-0.0069,0,0,0
30.04,1.294,-22.809,-0.0069,0,0,0
30.14,-1.001,-22.761,1.5639,0,0,0
30.25,-1.001,-22.761,1.5639,0,0,0
30.36,-1.001,-22.761,1.5639,0,0,0
30.46,-1.001,-22.761,1.5639,0,0,0
30.56,-1.001,-22.761,1.5639,0,0,0
30.67,-1.001,-22.761,1.5639,0,0,0
30.77,-1.001,-22.761,1.5639,0,0,0
30.87,-1.001,-22.761,1.5639,0,0,0
30.98,1.294,-22.809,-0.0069,0,0,0
31.08,1.294,-22.809,-0.0069,0,0,0
31.18,-1.001,-22.761,1.5639,0,0,0
31.29,1.294,-22.809,-0.0069,0,0,0
31.39,1.294,-22.809,-0.0069,0,0,0
31.49,1.294,-22.809,-0.0069,0,0,0
31.6,1.294,-22.809,-0.0069,0,0,0
31.7,-1.001,-22.761,1.5639,0,0,0
31.8,-1.001,-22.761,1.5639,0,0,0
31.91,-1.001,-22.761,1.5639,0,0,0
32.02,-1.001,-22.761,1.5639,0,0,0
32.13,-1.001,-22.761,1.5639,0,0,0
32.24,-1.001,-22.761,1.5639,0,0,0
32.34,1.294,-22.809,-0.0069,0,0,0
32.44,1.294,-22.809,-0.0069,0,0,0
32.55,-1.001,-22.761,1.5639,0,0,0
32.65,-1.001,-22.761,1.5639,0,0,0
32.75,1.294,-22.809,-0.0069,0,0,0
32.85,-1.001,-22.761,1.5639,0,0,0
32.96,1.294,-22.809,-0.0069,0,0,0
33.06,-1.001,-22.761,1.5639,0,0,0
33.16,1.294,-22.809,-0.0069,0,0,0
33.27,1.294,-22.809,-0.0069,0,0,0
33.37,1.294,-22.809,-0.0069,0,0,0
33.48,1.294,-22.809,-0.0069,0,0,0
